response,quite a lot of text with no actual meaning xd xd xd xd ......,5248164.32255455,anotherNumber,457888888754554,,,,,,,,,,,,
Trying,to,make,a,Table xd xd xd xd ,kjkjkjk ,,,,,,,,,that,I'm such stocker, you mainiac!!
,,,you mainiac!,,,,,,,,,,,,,
12544.542541,0,0,,,,,45888.55,,,,,,,,,
Diagrama de flujo de caja:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1245454545454,,45454,4488888888.44587,45454545422,4545454,,,,,,,,,,,
"VPN = P*(P/F,58%,4) + P*(P/F,60%,6)",,,,,,,,,,,,,,,,
VPN = 4545112.5554545,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Resumen:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Opcion,TIR,VAUE,VPN,VPB,VPC,BC,Justifica,,,,,,,,,
kjkjkjlkjlkjlkj,45,4512222884,5546555544.54455,5454,1,445,NO,,,,,,,,,
kjkjkjlkjlkjlkj,45,4512222884,5546555544.54455,5454,1,445,NO,,,,,,,,,
kjkjkjlkjlkjlkj,45,4512222884,5546555544.54455,5454,1,445,NO,,,,,,,,,
kjkjkjlkjlkjlkj,45,4512222884,5546555544.54455,5454,1,445,NO,,,,,,,,,
